,,ACW_50,ACW_0,ACW_Nadir
sub-069P,motor,"[2.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 8.0, 8.0]","[8.0, 8.0, 8.0, 8.0]"
sub-069P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 6.0, 8.0, 4.0, 6.0]","[4.0, 4.0, 8.0, 8.0, 8.0, 8.0]"
sub-069P,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 6.0, 8.0, 6.0]","[4.0, 8.0, 8.0, 8.0]"
sub-069P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-069P,limbic,"[2.0, 2.0, 2.0, 2.0]","[10.0, 8.0, 8.0, 10.0]","[12.0, 10.0, 4.0, 4.0]"
sub-071P,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 8.0, 6.0]","[4.0, 8.0, 4.0, 8.0]"
sub-071P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0]","[12.0, 12.0, 10.0, 10.0, 12.0, 12.0, 12.0, 12.0, 10.0, 12.0]","[16.0, 4.0, 12.0, 4.0, 4.0, 4.0, 16.0, 4.0, 4.0, 24.0]"
sub-071P,motor,"[2.0, 2.0, 2.0, 2.0]","[12.0, 8.0, 8.0, 8.0]","[4.0, 12.0, 12.0, 12.0]"
sub-071P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 4.0, 4.0, 8.0, 10.0]","[4.0, 12.0, 8.0, 4.0, 12.0, 16.0]"
sub-071P,fpn,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 4.0, 10.0]","[10.0, 4.0, 4.0, 12.0]"
sub-071P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 12.0, 10.0]","[4.0, 4.0, 4.0, 6.0]"
sub-071P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 6.0, 12.0, 12.0]","[4.0, 8.0, 4.0, 4.0]"
