,,ACW_50,ACW_0,ACW_Nadir
sub-048P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0]","[4.0, 8.0, 6.0, 6.0, 10.0, 8.0]","[4.0, 4.0, 8.0, 12.0, 12.0, 16.0]"
sub-048P,fpn,"[2.0, 2.0, 2.0, 4.0]","[6.0, 12.0, 6.0, 8.0]","[8.0, 4.0, 8.0, 16.0]"
sub-048P,salience,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 4.0, 4.0]","[6.0, 4.0, 4.0, 4.0]"
sub-048P,limbic,"[2.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 12.0, 8.0]","[8.0, 8.0, 12.0, 2.0]"
sub-051P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[6.0, 6.0, 4.0, 4.0]"
sub-051P,visual,"[4.0, 4.0, 4.0, 4.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0]","[10.0, 10.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[20.0, 20.0, 14.0, 12.0, 10.0, 12.0, 16.0, 20.0, 20.0, 12.0]"
sub-051P,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 8.0, 4.0, 4.0]"
sub-051P,dmn,"[4.0, 2.0, 2.0, 2.0, 2.0, 4.0]","[6.0, 6.0, 4.0, 6.0, 6.0, 10.0]","[8.0, 8.0, 8.0, 8.0, 10.0, 12.0]"
sub-051P,fpn,"[2.0, 2.0, 2.0, 4.0]","[8.0, 8.0, 4.0, 6.0]","[8.0, 12.0, 8.0, 10.0]"
sub-051P,salience,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 8.0, 6.0]","[8.0, 8.0, 8.0, 8.0]"
sub-051P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-052P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 10.0, 8.0, 8.0]","[4.0, 4.0, 8.0, 12.0]"
sub-052P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 4.0, 4.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0]","[8.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
sub-052P,motor,"[2.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 8.0, 8.0]","[8.0, 8.0, 4.0, 8.0]"
sub-052P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 2.0, 4.0, 6.0, 8.0]","[4.0, 4.0, 2.0, 4.0, 6.0, 12.0]"
sub-052P,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 10.0]","[4.0, 4.0, 8.0, 12.0]"
sub-052P,salience,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]"
sub-052P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-066P,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 4.0, 4.0]","[2.0, 2.0, 4.0, 4.0]"
sub-066P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[8.0, 4.0, 4.0, 4.0, 8.0, 8.0, 4.0, 4.0, 8.0, 4.0]"
sub-066P,motor,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 4.0, 4.0]","[8.0, 6.0, 8.0, 4.0]"
sub-066P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 6.0, 4.0, 2.0, 2.0]","[2.0, 4.0, 2.0, 4.0, 4.0, 4.0]"
sub-066P,fpn,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 4.0, 4.0]","[8.0, 4.0, 4.0, 4.0]"
